id,target,task_a_label
107t,"In dem mit dieser Entwicklung einhergehenden Bedarf an Finanzdienstleistungen liegen für uns als [ORG] wichtige Entwicklungspotenziale, die wir auf der Grundlage unseres öffentlichen Auftrags nutzen wollen.context:['Transformationsprozess eröffnet neue Geschäftschancen', 'Die Herausforderungen einer nachhaltigen Entwicklung verändern nicht nur die Wirtschaft, sie eröffnen ihr auch bedeutende Marktchancen durch neue Technologien, innovative Ideen und neue Arbeitsweisen.', 'Mit Produkten und Dienstleistungen, die einen positiven Beitrag zu mehr Nachhaltigkeit leisten, können sich Unternehmen aller Branchen und Größenklassen neue Geschäftschancen erschließen.']",class2
108t,"Einzig im Bereich Mobilität wurde der Einfluss auf den Ausstoß von Treibhausgasemissionen als signifikant identifiziert.context:['Hinsichtlich des Reduzierungspotenzials der ökologischen Auswirkungen werden kontinuierlich Anpassungen vorgenommen und bisherige Maßnahmen fortlaufend analysiert und geprüft.', 'Im Bereich des Umweltmanagements sind die ökologischen Auswirkungen wie der Wasserverbrauch, die Biodiversität, die Flächennutzung, die Luftverschmutzung und der Energieverbrauch aufgrund unserer Tätigkeiten als Beratungsagentur als sehr gering einzustufen.', 'Infolgedessen wurde weder ein explizites Ressourcenmanagement eingeführt noch quantitativen Ziele formuliert.']",class1
109t,"Würden wir mit Lieferanten zusammenarbeiten, die gegen Menschenrechte verstoßen oder würden wir selbst Menschenrechte nicht achten, bestünde das Risiko, dass wir bei unseren Kundinnen und Kunden einen Reputationsschaden erleiden.context:['Es wird erwartet, dass die Lieferanten die Menschenrechte anerkennen und einhalten.', 'Außerdem legen wir Wert darauf, dass sich die Dienstleister vertraglich verpflichten, sämtliche deutsche Rechtsnormen einzuhalten, und dass uns Entsprechungserklärungen zum Thema Mindestlohn vorliegen.', 'Da wir in erster Linie mit bekannten, örtlichen Lieferanten zusammen arbeiten, die größtenteils auch unsere Kunden sind, benötigen wir kein explizites Konzept für die Achtung der Menschenrechte in unserer Lieferkette.']",class17
110t,"Auch bei der Herstellung werden deutlich weniger Ressourcen, wie z.B. Wasser, benötigt.context:['Bei unserer Dienstleistungstätigkeit werden lediglich die üblichen Büromaterialien und IT genutzt.', 'Die einzige dauerhaft genutzte materielle Ressource ist Papier, welches wir nur einsetzen, wenn es wirklich notwendig ist oder durch umweltfreundliches Graspapier ersetzen.', 'Graspapier bietet eine ökologische, nachhaltige und regionale Alternative zu herkömmlichen Papier.']",class4
111t,"Die leitenden Angestellten sind durch entsprechende Übertragung der Verantwortung in die Umsetzung des Managementsystems integriert. context:['Dieser kontrolliert die Umsetzung und Anwendung sowie die Effektivität des Managementsystems und unterbreitet der Geschäftsführung Vorschläge für die Weiterentwicklung des Systems.', 'Die Geschäftsführung hat darüber hinaus aufgrund gesetzlicher Vorschriften bzw. behördlicher Vorgaben Beauftragte für den Bereich „Arbeitssicherheit"" bestellt.', 'Diese beraten die Geschäftsführer sowie die leitenden Mitarbeiter und überwachen die Einhaltung aller relevanten rechtlichen Vorgaben']",class5
112t,"Das Erreichen dieser Ziele wird durch Erfassen von Kennwerten zu Umsätzen, Unternehmenswachstum, Kundenbindung und Mitarbeiterbindung durch die Geschäftsführung verfolgt, die dem Controlling entnommen werden können.context:['Diese Aufgabe liegt aktuell vor allem in der Geschäftsführung.', 'Familienfreundlichkeit und Mitarbeiterförderung haben dabei eine hohe Priorität.', 'Mit dem Ziel der langfristigen Ausrichtung geht die langfristige Kundenbindung einher.']",class3
113t,"Wir arbeiten vertrauensvoll mit dem Betriebsrat, sowie dem Arbeitgeberverband zusammen.context:['Alle arbeits- und mitbestimmungsrechtlichen Gesetze und Vorgaben der jeweiligen Länder werden eingehalten.', 'Wir handeln nach dem Prinzip, die in Deutschland geltenden Regeln zu den Themen Arbeitsschutz, Gesundheitsschutz und Ergonomie auch als Standard für die ausländischen Betriebsniederlassungen zu definieren.', 'Hierbei sind vor allem die Vorgaben der ISO 45001 Zertifizierung wegweisend.']",class14
114t,"Diese Aufgaben stellen in ihrer Gesamtheit die Compliance-relevanten Maßnahmen dar.context:['Die Funktion des Compliance-Verantwortlichen wird vom Leiter des Bereichs Recht/Compliance wahrgenommen.', 'Er ist dem Vorstandsvorsitzenden direkt unterstellt.', 'Seine Aufgaben sind zu unterteilen in strategische Aufgaben, Beratung und Unterstützung, Überwachung und Verbesserung sowie Berichterstattung.']",class20
115t,"Soweit möglich und vorhanden ermittelt die Bank die Ausprägungen zu einzelnen Leistungsindikatoren der [ORG].context:['Die Sicherstellung und die Umsetzung der gesetzlichen und freiwilligen Standards werden von den Beauftragten und den Verantwortlichen in den Bereichen Geldwäsche, Compliance, Informationssicherheit, Datenschutz und Outsourcing sowie Personal und Qualitätsmanagement regelmäßig überwacht.', 'Ebenso prüft die Abteilung Revision im Rahmen des risikoorientierten Prüfungsplans die Umsetzung der gesetzlichen Anforderungen.', 'Über ein entsprechendes Berichtswesen wird der Vorstand mit eingebunden.']",class7
116t,"Stattdessen führte [ORG] 2020 eine erneute interne Stakeholderbefragung mittels persönlicher Einzelinterviews (flankiert von einer Onlinebefragung) durch, um die wichtigsten Nachhaltigkeitsthemen adressieren und aktualisieren zu können.context:['[ORG] hat bereits 2014 eine erste Stakeholderbefragung durchgeführt und die Ergebnisse genutzt, um eine Nachhaltigkeitsstrategie zu entwerfen.', '[ORG] verfolgt also zunächst den strategisch-dialogischen Stakeholderansatz.', 'Ein für 2020 geplanter Stakeholderdialog, konnte aufgrund der Corona-Epidemie nicht durchgeführt werden.']",class9
117t,"Neue Konzepte werden mit Prototypen oder in Beratungsgesprächen vorgestellt und konstruktiv diskutiert.context:['Experten tauschen sich in verschiedenen Formaten mit Kunden aus, damit deren Ideen und Anregungen in die (Weiter-)Entwicklung von Services und Produkten einfließen können.', 'Da die Digitalisierung neue Möglichkeiten zur unmittelbaren Kundenpartizipation bietet, plant und testet die [ORG] derzeit neue Formate.', 'So rief die Bank 2017 das „Customer Solution Lab“ ins Leben, um Kunden an der Entwicklung innovativer Produkte und Services zu beteiligen.']",class9
118t,"Die Herausforderungen der heutigen Zeit sind vor allem die Bewältigung der Klimakrise, die Ressourcenknappheit sowie die Auswirkungen von Produkten auf die menschliche Gesundheit und die Umwelt.context:['Damit auch zukünftige Generationen weltweit gut leben können, müssen wir unseren Ressourcenverbrauch reduzieren:', 'Geschlossene Stoffkreisläufe sind dringend erforderlich.', 'Außerdem müssen alle Produkte in einer verträglichen Harmonie mit uns Menschen und unserem Ökosystem sein.']",class10
119t,"Zudem befragen wir unsere Kundinnen und Kunden bereits seit September 2020 im Rahmen der Anlageberatung grundsätzlich nach ihren Nachhaltigkeitspräferenzen.context:['Prozesse im Kerngeschäft | Im operativen bilanziellen Kerngeschäft (Einlagen und Kredite) beachtet die [ORG] zusätzlich u. a. satzungsmäßige Regelungen (z. B. Regionalprinzip der [ORG]) und Kreditrichtlinien.', 'Zudem haben wir in 2020 Ausschlusskriterien für unser Kreditgeschäft festgelegt.', 'In die Produktkörbe zur Anlageberatung haben wir Nachhaltigkeitsfonds aufgenommen, so dass ein aktives Angebot möglich ist.']",class6
120t,"Darüber hinaus beteiligt das Unternehmen seine Mitarbeitenden in wirtschaftlich erfolgreichen Zeiten am Unternehmensgewinn.context:['Für alle tarifgebundenen Mitarbeiterinnen und Mitarbeiter der [ORG] findet der Tarifvertrag TVöD-F Anwendung.', 'Im Rahmen des §18 TVöD-F wird an die berechtigten Mitarbeitenden zusätzlich zum Tabellenentgelt ein Leistungsentgelt gezahlt, in dem soziale und ökologische Ziele berücksichtigt sind.', 'Die Kontrolle, ob die Ziele erreicht wurden, erfolgt durch die zuständige Führungskraft.']",class8
121t,"Sie sind in der intern veröffentlichten Broschüre „Verpflichtung zur Nachhaltigkeit“ dargestellt.context:['Durch die Workshops der Unternehmensleitung (2017) und das World-Café der Abteilungen (2018) wurde das Ziel erreicht, die mit der nachhaltigen Entwicklung verbundene Wertevorstellung im Unternehmen zu definieren, dafür zu sensibilisieren und möglichst viele Beschäftigte für das Thema zu mobilisieren.', 'Denn die erfolgreiche Umsetzung der nachhaltigen Entwicklung muss parallel auf allen Ebenen stattfinden, bei allen Projekten und in allen Prozessen geprüft und berücksichtigt werden.', 'Die wesentlichen Ziele inklusiv der unterstützenden Maßnahmen sind entsprechend den Säulen der Nachhaltigkeit (Ökologie, Ökonomie und Gesellschaft) definiert.']",class3
122t,"Darüber hinaus engagierten sich erneut zahlreiche Mitarbeiter von [ORG] in ihrer Freizeit in den Gemeinschaften vor Ort.context:['Traditionell unterstützen einzelne Gesellschaften in unterschiedlichen Formen die Zivilgesellschaften an ihren jeweiligen Standorten.', 'In Werdohl beispielsweise arbeitete [ORG] auch 2017 im Rahmen der „Initiative Technik“ intensiv mit den örtlichen Schulen zusammen.', '[ORG] unterstützte 2017 mehrere lokale Hilfsorganisationen in Hamburg.']",class18
123t,"Diese Zielsetzung gilt auch für unsere eigenen Mitarbeiter.context:['Nach einer Studie von [PERSON]/[PERSON]/[PERSON] zur Positiven Psychotherapie ([PRODUCT], Now. 2006) genügen 3 gute Gedanken/Augenblicke am Tag, um langfristig die Lebenszufriedenheit zu steigern.', 'Wir verbringen einen Großteil unseres Lebens auf Arbeit.', 'Unser Beratungsfeld [NAME] beschäftigt sich mit Strategien, die Motivation von Mitarbeitern zu erhöhen, damit sie auch auf Arbeit viele schöne Momente verbringen können.']",class1
124t,"Wir engagieren uns u. a. beim ""Augsburger Zukunftspreis"" für eine nachhaltige Stadtentwicklung.context:['Mit unseren vielfältigen Spenden- und Sponsoringengagements in Kultur, Bildung, Sport, Umwelt, Wissenschaft und Soziales machen wir viele Dinge erst möglich.', 'In 2017 haben wir insgesamt ca. 1,8 Mio. € zur Verfügung gestellt, um eine möglichst große Breitenwirkung zu erzielen, so dass alle Menschen in der Region davon profitieren.', 'Die Ausschüttungen an die Trägergemeinden in Millionenhöhe dürfen von diesen nur für gemeinnützige Zwecke verwendet werden und kommen demnach auch dem Gemeinwesen zu Gute.']",class18
125t,"Der Schwerpunkt unserer durchgeführten Programme liegt dabei auf vorbeugenden Maßnahmen.context:['Des Weiteren fördert die [ORG] den Betriebssport.', 'Dieses Angebot wird seit 2018 durch einen eingetragenen Verein getragen.', 'Erklärtes Ziel des [ORG] ist es, die Gesundheit, Leistungsfähigkeit und Arbeitszufriedenheit der Mitarbeiterinnen und Mitarbeiter zu erhalten und nach Möglichkeit auch zu fördern.']",class15
126t,"Indem wir in diesen DNK-Prozess einsteigen, stoßen wir einen Innovationsprozess an, der in unserem Betrieb langfristig wirken soll und der im besten Falle auch unsere Stakeholder für das Thema Nachhaltigkeit sensibilisiert und zu nachhaltigem Handeln bewegt.context:['Wir wollen ein nachhaltig wirtschaftender Betrieb sein.', 'Dies ist unser erster DNK-Nachhaltigkeitsbericht, mit dem wir eine IST-Analyse unseres nachhaltigen Wirtschaftens darstellen.', 'Ausgehend von dieser Analyse formulieren wir Ziele - qualitative und quantitative.']",class3
127t,"Dies macht die Ergebnisse über Jahre hinweg vergleichbar und zeigt die Weiterentwicklung auf.context:['Auf Basis der Ergebnisse wird eine Zielpositionierung festgelegt und ein Maßnahmenprogramm zur Erreichung des Zielwerts abgeleitet.', 'Die Umsetzung der angestrebten Maßnahmen wird durch das Nachhaltigkeits-Team bei den regelmäßigen Treffen nachgehalten.', 'Die Zielerreichung wird im Folgejahr anhand der erneuten Durchführung des Nachhaltigkeits-Kompasses überprüft.']",class7
128t,"Eine gesonderte Zielformulierung aufgrund von Nachhaltigkeitskriterien gibt es daher nicht.context:['Für die Erreichung der Nachhaltigkeitsziele gibt es keine Vergütungssysteme für Führungskräfte und Mitarbeiter*innen und ist bisher auch nicht geplant.', 'Alle Mitarbeiter*innen tragen gesellschaftliche Verantwortung.', 'Als Verbund von familiengeführten Unternehmen ist es für uns selbstverständlich, dass jeder Mitarbeitende nach besten Kräften daran arbeitet, die gemeinsamen Ziele zu realisieren.']",class8
129t,"Hierzu überwacht dieser die hausinternen Vorgaben und führt auch eigene Kontroll- und Überwachungshandlungen durch.context:['Wir legen großen Wert darauf, dass sich die [ORG] Ravensburg und alle Beschäftigten rechtskonform verhalten.', 'Es wird keine Form von Korruption und Bestechung toleriert.', 'Es ist Aufgabe des Compliance-Beauftragten (Chief Compliance Officer) sicher zu stellen, dass wir im Einklang mit den gesetzlichen Vorgaben handeln.']",class20
130t,"Künftig wollen wir einige Steuerungskennzahlen definieren, in dem sämtliche Datenquellen, wie Kundenbefragungen, CO2-Berechnungen, Analysen, etc. zusammenfließen.context:['Die Ziele und Maßnahmen unserer Nachhaltigkeitsstrategie (siehe Kriterium 1) werden formell und informell kontrolliert.', 'Um die Zielkontrolle zu erleichtern und die Zielqualität zu erhöhen, haben wir bei den meisten Zielen und Indikatoren Methoden der Erhebung entwickelt und festgelegt.', 'Diese sind pragmatisch und praktikabel für unsere Unternehmensgröße, gewährleisten aber gleichzeitig die Vergleichbarkeit der Daten.']",class7
131t,"Sie begrüßt deshalb deren staatsbürgerliches, politisch-demokratisches, gesellschaftliches, soziales und umweltorientiertes Engagement.context:['Weder mittelbar noch durch die Gewährung finanzieller Mittel.', 'Zudem unterstützen wir keine Veranstaltungen, die politischen Parteien oder Organisationen ein Forum bieten.', 'Die Mitverantwortung des Unternehmens und seiner Mitarbeiter für das Gemeinwohl erkennt die [ORG] ausdrücklich an.']",class19
132t,"Verantwortlich für die Compliance ist die Geschäftsführerin; bei der Unterzeichnung von Vertraulichkeitsvereinbarungen bespricht sie die jeweils besonders starken Klauseln mit den Projektbeteiligten, um sie für den korrekten Umgang zu sensibilisieren.context:['[ORG] hat keine eigenen Antikorruptionsrichtlinien; es ist bisher und im Berichtszeitraum zu keinen Vorfällen gekommen.', 'Im Umgang mit Projekten und Kunden halten wir uns an entsprechende Vertraulichkeitsvereinbarungen, die jeweils von der Geschäftsführerin bzw. von den Projektbeteiligten unterschrieben werden.', 'Die Werkverträge unserer freien Mitarbeitenden beinhalten entsprechende Klauseln.']",class20
133t,"Über die uneingeschränkte Einhaltung des Ethik- und Verhaltenskodex sowie der „Grundsätze integren Verhaltens“ hinaus bestehen keine konkreten Zielsetzungen im Bereich der Korruptionsbekämpfung.context:['Die [ORG] geht aktiv gegen Korruption vor.', 'Der Ethik- und Verhaltenskodex, der die wichtigsten ethischen Grundsätze der [ORG] und somit des [ORG] darstellt, umfasst ein klares Verbot jeder Form von Korruption.', 'Konkrete Verhaltensregeln zur Bekämpfung von Korruption und zum Umgang mit Interessenkonflikten sind ergänzend in den „Grundsätzen integren Verhaltens“ festgehalten.']",class20
134t,"Informationen zur Berechnungsgrundlage der CO2-Emissionen finden Sie unter Leistungsindikator „Direkte THG-Emissionen – Scope 1“.context:['Unsere Klimaschutzziele finden Sie unter Kriterium 3. Ziele. ', 'Im Jahr 2017 fielen 242 Gramm CO2 pro Liter Getränk an, dies bedeutet eine Reduktion des CO2 Fußabdrucks um 17 Gramm pro Liter Getränk zu 2015.', 'Insgesamt sind in der Produktion 451.870 Tonnen CO2 emittiert.']",class13
135t,"Insbesondere obliegt dem [ORG] die Gesamtvertretung der gemeinsamen Interessen bei Behörden und in der Öffentlichkeit.context:['In der Satzung des [NAME] ist unter anderem geregelt, dass dieser die [ORG] bei der Vertretung von gemeinsamen Interessen unterstützt.', 'Weiterhin ist geregelt, dass der [ORG] Mitglied des [ORG] ist.', 'Gemäß Satzung des [ORG] nimmt dieser die Förderung der gemeinsamen Interessen seiner Mitglieder und der angeschlossenen [ORG] durch Beratung, Erfahrungsaustausch und Unterstützung im Rahmen der gesetzlichen Bestimmungen und sonstigen Anordnungen wahr.']",class19
136t,"Informationen werden zudem an alle Mitarbeiterinnen und Mitarbeiter per Intranet und in regelmäßigen verschiedenen Veranstaltungen für Mitarbeiter weitergegeben.context:['Die einzelnen operativen Entscheidungen treffen und kontrollieren die jeweiligen Fachbereiche in enger Abstimmung mit dem Vorstand.', 'Über alle geschäftspolitischen Themen -und damit auch über die, die das Thema Nachhaltigkeit betreffen- wird in wöchentlichen Vorstandssitzungen, in Jour-Fixe-Gesprächen zwischen den Vorständen und den Bereichsleitern und in einer regelmäßigen Führungsrunde informiert und diskutiert.', 'Die operativen Umsetzungen verantworten dann je nach Thema/Zuständigkeit die einzelnen Fachbereiche.']",class6
137t,"Dieses Konzept wurde 2017 mit dem Bildungspreis „InnoWard“ der Versicherungswirtschaft ausgezeichnet.context:['Werkstatt: Nachhaltigkeit:', 'Jährlich findet die „Azubi-Werkstatt: Nachhaltigkeit“ für die Auszubildenden der [ORG] des zweiten Lehrjahrs statt.', 'Die Werkstatt berücksichtigt die Aspekte Ökologie, Ökonomie und Soziales.']",class14
138t,"Nachhaltige Entwicklung bedeutet für uns als [ORG] konkret, die Verkleinerung des ökologischen Fußabdrucks und die Erhöhung der für alle frei zugänglichen Lebensqualität.context:['Bereits im Jahr 2012 hat der Vorstand der [ORG] eine Selbstverpflichtung zu Nachhaltigkeit unterzeichnet und in der Geschäftsstrategie verankert.', 'Sie umfasst das Bekenntnis, wirtschaftlichen Fortschritt mit sozialer Gerechtigkeit und dem Schutz der natürlichen Umwelt zu verbinden.', 'Zukünftige Generationen sollen überall dieselben Chancen auf ein gutes Leben haben.']",class1
139t,"Durch eine Teamkommunikation auf persönlicher Basis mit klar formulierten Zielen werden Aufbau- und Ablauforganisation ständig weiterentwickelt.context:['Ein klar strukturiertes Organigramm klärt Zuständigkeiten und die Zusammenarbeit im Team.', 'Arbeitsplatzbeschreibungen definieren die Tätigkeiten, Ziele und Vertretungsregelungen.', 'In modernen Büros führen kurze Wege und direkte Kommunikation zu optimaler Information.']",class6
140t,"Die Ergebnisse sämtlicher Stakeholder-Kommunikation fließen in die strategische und operative Geschäftstätigkeit ein.context:['Für eine positive Entwicklung der Geschäftstätigkeit von [PERSON] ist eine kontinuierliche Berücksichtigung der Ideen, Kommentare und Erwartungen aller relevanten Stakeholder elementar.', 'Die Unternehmerin pflegt deshalb regelmäßig persönlichen, telefonischen und digitalen Austausch mit Vertretern ihrer Anspruchsgruppen.', 'Für den persönlichen Dialog eignen sich hervorragend Veranstaltungen, an denen die Inhaberin regelmäßig und mehrfach im Jahr teilnimmt, um die neuesten Entwicklungen zu erfahren und sich dazu auszutauschen.']",class9
141t,"Die Geschäftstätigkeit des [ORG] wird durch eine Vielzahl gesetzlicher und untergesetzlicher Rahmenbedingungen geregelt.context:['Es verhält sich parteipolitisch neutral.', 'Zuwendungen oder Spenden an Parteien oder Politiker:innen werden grundsätzlich nicht getätigt.', 'Mit Ausnahme der für eine Universitätsklinik üblichen Interessensvertretungen ([ORG], [ORG], [ORG], [ORG], diverse Fachgesellschaften über die verantwortlichen Fachvertreter) unterhält das [ORG] keine Mitgliedschaften in politisch aktiven Organisationen oder Unternehmen.']",class19
142t,"Diese Maßnahme sehen wir als ersten Schritt auf dem Weg zu einer CO2-neutralen [ORG].context:['Darüber hinaus verfolgen wir kontinuierlich das Ziel, unseren ökologischen Fußabdruck zu verkleinern, wozu verschiedene Maßnahmen dienen sollen.', 'Für das erste Halbjahr 2020 planen wir z. B. mithilfe eines externen Anbieters, eine Tagung mit [ORG] aus dem gesamten Bundesgebiet CO2-neutral zu stellen.', 'Die hier gesammelten Erfahrungswerte sollen auch für die Planung zukünftiger Veranstaltungen genutzt werden.']",class3
143t,"Gleichwohl ist die [ORG] bestrebt, neben der Wirtschaftlichkeit auch soziale und ökologische Aspekte beim Einkauf von Dienstleistungen, Produkten aber auch der Vergabe von Aufträgen (bspw. Handwerker) zu berücksichtigen.context:['Der gesamte [ORG] ist Mitglied im UN Global Compact, der weltweit größten Initiative für wertorientierte, verantwortungsvolle Unternehmensführung und handelt nach den 10 Prinzipien zur nachhaltigen Unternehmensführung.', 'Das Thema ""Nachhaltigkeit"" ist hinsichtlich der Wertschöpfung im Bereich der Finanzdienstleistungen von untergeordneter Bedeutung.', 'Daher findet eine kontinuierliche Betrachtung der sozialen und ökologischen Probleme in den einzelnen Stufen der Wertschöpfungskette nicht statt.']",class4
144t,"Im Bereich der sozialen Mieterbetreuung setzt die [ORG] auf erfahrene Kooperationspartner*innen.context:['Für Kinder und Jugendliche aus dem Quartier werden gemeinsam mit Schulen oder dem Stadtteilzentrum Projektnachtmittage zu verschiedenen Themen, die die Schüler*innen vor Ort bewegen, veranstaltet.', 'Die [ORG] steht ihren Mieter*innen auch bei schwierigen Angelegenheiten beratend zur Seite.', 'Auch 2021 unterstützte die [ORG] die [ORG] bei der sozialen Beratung ihrer Mieterschaft – coronabedingt mit einem Onlineportal.']",class18
145t,"Auch die Mitarbeitendenbefragung ist fest in der Unternehmensstrategie verankert.context:['Umfangreiche Personalkennzahlen werden jährlich im Personal und Sozialbericht im Intranet veröffentlicht.', 'Darüber hinaus ermöglichen seit 2009 alle drei Jahre durchgeführte Mitarbeitendenbefragung ein aktives Feedback.', 'Die Befragungen laden die Belegschaft dazu ein, sich dazu zu äußern, wie zufrieden sie mit ihrer Arbeit sind und welche Faktoren eine besondere Bedeutung für ihre Zufriedenheit haben.']",class7
146t,"Ein Teil des selbst erzeugten Stroms wird auf der [ORG] benutzt, der größere Teil davon wird allerdings ins allgemeine Netz eingespeist.context:['Der weitaus größte Teil des Prozessdampfes wird jedoch einer Turbine zugeführt und dort zur Stromerzeugung genutzt.', 'Dies funktioniert nach dem Prinzip der Kraft-Wärme-Kopplung, es wird also gleichzeitig Strom und Fernwärme erzeugt.', 'Der Turbine ist ein Generator nachgeschaltet, der bis zu 22.000 Kilowatt Strom pro Stunde produzieren kann.']",class12
147t,"Für unsere Arbeitnehmer und ihre Rechte ergeben sich aus unserem Geschäftsmodell nebst Personalkonzept keine besonderen Risiken.context:['Für das Thema Arbeitnehmerrechte haben wir keine eigene Strategie formuliert.', 'Konkrete Ziele und Maßnahmen für die Mitarbeiterperspektive finden sich in unserer strategischen Balanced Scorecard (BSC) und werden jeweils jährlich geplant, aktualisiert und Zielerreichungsgrade/Auswirkungen nachgehalten.', 'Dieser Prozess ist Teil unseres bewährten gesamtbankweiten Strategieprozesses, in den die Unternehmensführung sowie sämtliche Bereiche eingebunden sind.']",class14
148t,"Bei Kriterium 13 wird zur weiteren Entwicklung des Energieverbrauchs ausgeführt.context:['So wurde 2019 in Kooperation mit der [ORG] am [KONTAKT] das erste Aquathermie-Projekt im Stadtgebiet in Betrieb genommen.', 'Das Projekt unterstützt die Stadt Dortmund bei ihrem Ziel, bis 2020 eine CO2-Einsparung von 40 % gegenüber 1990 zu erreichen.', 'Das Projekt wurde vom Bundesumweltministerium als kommunales Klimaschutz-Modellprojekt ausgezeichnet.']",class12
149t,"Die [ORG] errichtet im Zuge eines laufenden Pilotprojektes [NAME], nachhaltige Anlagen zur Verarbeitung von kommunalem Grünschnitt.context:['Durch individuelle Auswahlmöglichkeiten bezüglich der Größe und Frequenz des abzuholenden Behälters kann der Haushalt durch sachgemäße Abfalltrennung die Abfallgebühr senken und damit einen wichtigen Beitrag zur Ressourcenschonung und Nachhaltigkeit leisten.', 'Die Wirkung des Systems wird in der jährliche zu erstellenden Abfallbilanz sichtbar.(siehe Leistungsindikator 10)', 'Das Gebäudemanagement der [ORG] achtet bei Neubauten, Anlagen, Modernisierungen und Sanierungen auf die Nachhaltigkeit der verwendeten Baustoffe und die Energieeffizienz.']",class10
150t,"Die relevanten Leistungsindikatoren werden im Vier-Augen-Prinzip, gemeinsam mit dem zuliefernden Bereich, qualitätsgesichert.context:['Diese Ziele werden auf Gesamtbank- und Bereichsebene auf Jahresziele heruntergebrochen und jährlich im Rahmen von Umfragen überprüft.', 'Diese Balanced Score Card stellt das interne Planungs- und Kontrollsystem dar.', 'Leistungsindikatoren zur Nachhaltigkeit werden hier bisher noch nicht abgefragt.']",class7
151t,"In der Forschung wird neben laufenden Qualitätskontrollen intensiv an neuen nachhaltigen Papiersorten und Produktverbesserungen geforscht.context:['Die Einhaltung der Nachhaltigkeitsstrategie wird durch eine Vielzahl klar definierter Verfahrensanweisungen gewährleistet.', 'Unter anderem werden dem Einkauf Möglichkeiten eingeräumt, nachhaltige Lieferanten auch bei unterlegenem Preisangebot zu berücksichtigen.', 'Zahlreiche Projekte zur Steigerung der Energieeffizienz, Reduzierung der Emissionen und Erhöhung der Produktivität werden im Produktionsbereich erfolgreich durchgeführt.']",class6
152t,"Bei der Erneuerung von Computer-Hardware oder anderen Geräten wird auf Energieeffizienz geachtet.context:['Die damit verbundenen THG-Emissionen sind uns noch unbekannt.', 'Dennoch wird die Reduzierung von Papier-, Wärmenergie- und Stromverbrauch wird sukzessive vorangetrieben.', 'So wird etwa die Beleuchtung der Filialen oder der Zentrale bei Neueinbau Stück für Stück auf LED-Technik umgestellt.']",class13
153t,"Nachhaltigkeitsdaten werden in den jeweiligen Abteilungen ausgewertet, wie z.B. Buchhaltung, Personal, Technik etc. und von der Abteilung Nachhaltigkeit in Berichtsqualität zusammengeführt.context:['Nachhaltigkeitsindikatoren werden nach den Vorgaben des GRI-Standards und DNK ermittelt und dokumentiert.', 'Der erste Nachhaltigkeitsbericht 2018 wurde durch den DNK geprüft und 2019 veröffentlicht.', '[ORG] ist damit Pionier in der Branche der [ORG].']",class7
154t,"Um diese zu berrechnen, werden umfangreiche Leistungsindikatoren wie z.B. Gas, Strom, Fernwärme etc. erhoben.context:['Die Ergebnisse und die konkreten Maßnahmen aus dem Energieaudit werden konsequent umgesetzt und beobachtet, wie sich die einzelnen Kennzahlen der Maßnahmen entwickeln.', 'Zielsetzung dabei ist immer die Klimabilanz der [ORG] zu verbessern - konkret die CO2-Emissionen zu reduzieren, um das Ziel der Klimaneutralität zu erreichen.', 'Leistungsindikatoren sind dabei in erster Linie die Treibhausemissionen.']",class7
155t,"Da unser Unternehmen dezentral organisiert ist, wurden die entsprechenden Verbräuche nicht zentral erfasst und ausgewertet.context:['Umweltauswirkungen entstehen auch durch die Versorgung unserer Kunden, der Kinder.', 'Der Kauf von Lebensmitteln und Verbrauchsmaterialien steht hier im Vordergrund.', 'Auch in diesem Bereich gibt es bereits eine Reihe von Maßnahmen.']",class11
156t,"Aus der Befragung werden weitere Maßnahmen zu Verbesserungen abgeleitet.context:['Durch regelmäßige Mitarbeiterbefragungen erhebt die [ORG] die Zufriedenheit ihrer Beschäftigten.', 'In der jährlichen Mitarbeiterbeurteilung geben die Mitarbeiter ein Feedback zum Führungsverhalten ihrer Führungskräfte.', 'Die Ergebnisse der Befragung zeigen eine stetige Weiterentwicklung durch verbesserte Werte.']",class14
157t,"Zusätzlich sind technische Risiken wie Grenzwertüberschreitungen im Wasserbereich oder Netzausfall im Risk Management mitberücksichtigt.context:['Die Prüfung der Funktionsfähigkeit der Compliance Organisation erfolgt durch Prüfaufträge an die interne Revision.', 'Darüber hinaus ist es im täglichen Geschäft Aufgabe der Abteilungsleitung und Bereichsleitung die Einhaltung der Vorgaben sicherzustellen.', 'Zur Risikobetrachtung wurde ein Risk Management aufgebaut, welches Risiken z. B. Rechts- und Vertragsrisiken oder Markt- und Wettbewerbsrisiken, auch aus Korruption und gesetzeswidrigem Verhalten, identifiziert, analysiert, gegensteuert und kontrolliert.']",class20
158t,"Zur Reduzierung des Energieverbrauchs haben wir in den vergangenen Jahren bereits eine Vielzahl an Maßnahmen umgesetzt und wollen diese in den nächsten Jahren sukzessive fortschreiben.context:['In unseren Leitsätzen zur Nachhaltigkeit setzen wir uns folgendes Ziel für unseren Geschäftsbetrieb:', '„Im Rahmen unserer eigenen Geschäftstätigkeit werden wir unseren ökologischen Fußabdruck sukzessive reduzieren.', 'Unsere größten Emissionsquellen sind der Strom- sowie der Heizenergieverbrauch.']",class12
